idx,name,type,typeName,length,precision,comment,alias
1,id,4,Integer64,0,0,,
2,class_rerau,2,Integer,0,0,,
3,inf3_o_t,2,Integer,0,0,,
4,inf4_eo_t,2,Integer,0,0,,
5,exf4_eo_t,2,Integer,0,0,,
6,hyd3_eo_t,2,Integer,0,0,,
7,ens4_eo_t,2,Integer,0,0,,
8,bou4_eo_t,2,Integer,0,0,,
9,dsc7_o_t,2,Integer,0,0,,
10,atc7_o_t,2,Integer,0,0,,
11,rac4_o_t_min,2,Integer,0,0,,
12,rac4_o_t_maj,2,Integer,0,0,,
13,arb4_o_t,2,Integer,0,0,,
14,eff3_eo_t_min,2,Integer,0,0,,
15,eff3_eo_t_max,2,Integer,0,0,,
16,id_troncon,2,Integer,0,0,,
17,id_file,2,Integer,0,0,,
